"ICO";"year";"def";"class";"acid.test";"debt.ratio";"asset.turn";"returns"
10559655;2008;0;0;2.83499361430396;0.0761540635832131;1.05861437986284;0.168836192148053
10559655;2009;0;0;4.53730056058646;0.0751031707379591;0.896957424448261;0.160613128957014
10559655;2010;0;0;5.79582183681514;0.0829568687944565;0.789192100978196;0.0474773815207943
10559655;2011;0;0;5.65494106980961;0.090329008231136;0.798776003985103;0.0543681950802951
10559655;2012;0;0;3.1528676389955;0.122203352285313;0.808272064640668;0.0891657260999357
10559655;2013;0;0;2.26041379310345;0.133867456410458;0.813334771608449;0.0656637966540491
112402;2008;0;0;1.50984346489964;0.359327961201884;0.475483120675008;0.0250818603960641
112402;2009;0;0;0.568969527797162;0.382204108193268;0.343536745125909;-0.0287522154960571
